period_type,period_start_kst,period_end_kst,metric,value,unit
day,2026-06-14,2026-06-14,faq_end_proxy_rate_pct,50,percent
day,2026-06-15,2026-06-15,total_requests,2,count
day,2026-06-15,2026-06-15,matched_requests,0,count
day,2026-06-15,2026-06-15,unmatched_requests,2,count
day,2026-06-15,2026-06-15,match_rate_pct,0,percent
day,2026-06-15,2026-06-15,faq_end_proxy_rate_pct,0,percent
day,2026-06-17,2026-06-17,total_requests,4,count
day,2026-06-17,2026-06-17,matched_requests,2,count
day,2026-06-17,2026-06-17,unmatched_requests,2,count
day,2026-06-17,2026-06-17,match_rate_pct,50,percent
day,2026-06-17,2026-06-17,faq_end_proxy_rate_pct,50,percent
day,2026-06-18,2026-06-18,total_requests,7,count
day,2026-06-18,2026-06-18,matched_requests,6,count
day,2026-06-18,2026-06-18,unmatched_requests,1,count
day,2026-06-18,2026-06-18,match_rate_pct,85.7,percent
day,2026-06-18,2026-06-18,faq_end_proxy_rate_pct,50,percent
day,2026-06-19,2026-06-19,total_requests,2,count
day,2026-06-19,2026-06-19,matched_requests,0,count
day,2026-06-19,2026-06-19,unmatched_requests,2,count
day,2026-06-19,2026-06-19,match_rate_pct,0,percent
day,2026-06-19,2026-06-19,faq_end_proxy_rate_pct,0,percent
day,2026-06-20,2026-06-20,total_requests,1,count
day,2026-06-20,2026-06-20,matched_requests,1,count
day,2026-06-20,2026-06-20,unmatched_requests,0,count
day,2026-06-20,2026-06-20,match_rate_pct,100,percent
day,2026-06-20,2026-06-20,faq_end_proxy_rate_pct,100,percent
day,2026-06-21,2026-06-21,total_requests,7,count
day,2026-06-21,2026-06-21,matched_requests,4,count
day,2026-06-21,2026-06-21,unmatched_requests,3,count
day,2026-06-21,2026-06-21,match_rate_pct,57.1,percent
day,2026-06-21,2026-06-21,faq_end_proxy_rate_pct,50,percent
day,2026-06-22,2026-06-22,total_requests,1,count
day,2026-06-22,2026-06-22,matched_requests,0,count
day,2026-06-22,2026-06-22,unmatched_requests,1,count
day,2026-06-22,2026-06-22,match_rate_pct,0,percent
day,2026-06-22,2026-06-22,faq_end_proxy_rate_pct,0,percent
day,2026-06-23,2026-06-23,total_requests,1,count
day,2026-06-23,2026-06-23,matched_requests,0,count
day,2026-06-23,2026-06-23,unmatched_requests,1,count
day,2026-06-23,2026-06-23,match_rate_pct,0,percent
day,2026-06-23,2026-06-23,faq_end_proxy_rate_pct,0,percent
day,2026-06-24,2026-06-24,total_requests,7,count
day,2026-06-24,2026-06-24,matched_requests,6,count
day,2026-06-24,2026-06-24,unmatched_requests,1,count
day,2026-06-24,2026-06-24,match_rate_pct,85.7,percent
day,2026-06-24,2026-06-24,faq_end_proxy_rate_pct,100,percent
day,2026-06-25,2026-06-25,total_requests,3,count
day,2026-06-25,2026-06-25,matched_requests,0,count
day,2026-06-25,2026-06-25,unmatched_requests,3,count
day,2026-06-25,2026-06-25,match_rate_pct,0,percent
day,2026-06-25,2026-06-25,faq_end_proxy_rate_pct,0,percent
day,2026-06-26,2026-06-26,total_requests,6,count
day,2026-06-26,2026-06-26,matched_requests,3,count
day,2026-06-26,2026-06-26,unmatched_requests,3,count
day,2026-06-26,2026-06-26,match_rate_pct,50,percent
day,2026-06-26,2026-06-26,faq_end_proxy_rate_pct,40,percent
day,2026-06-27,2026-06-27,total_requests,1,count
day,2026-06-27,2026-06-27,matched_requests,1,count
day,2026-06-27,2026-06-27,unmatched_requests,0,count
day,2026-06-27,2026-06-27,match_rate_pct,100,percent
day,2026-06-27,2026-06-27,faq_end_proxy_rate_pct,100,percent
day,2026-06-28,2026-06-28,total_requests,1,count
