period_type,period_start_kst,period_end_kst,brand,total_requests,matched_requests,unmatched_requests,match_rate_pct,unique_users,sessions,faq_end_proxy_sessions,faq_end_proxy_rate_pct,explicit_handoff_observed_sessions,typo_corrected_requests,test_requests_excluded,metric_caveat
day,2026-06-10,2026-06-10,woods,2,2,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-10,2026-06-10,laurastar,2,1,1,50,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-11,2026-06-11,ALL,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-11,2026-06-11,woods,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-12,2026-06-12,ALL,3,3,0,100,3,3,3,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-12,2026-06-12,laurastar,1,1,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-12,2026-06-12,woods,2,2,0,100,2,2,2,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-13,2026-06-13,ALL,6,3,3,50,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-13,2026-06-13,laurastar,6,3,3,50,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-14,2026-06-14,ALL,2,1,1,50,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-14,2026-06-14,laurastar,1,1,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-14,2026-06-14,woods,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-15,2026-06-15,ALL,2,0,2,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-15,2026-06-15,laurastar,2,0,2,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-17,2026-06-17,ALL,4,2,2,50,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-17,2026-06-17,laurastar,4,2,2,50,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-18,2026-06-18,ALL,7,6,1,85.7,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-18,2026-06-18,aarke,6,5,1,83.3,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-18,2026-06-18,laurastar,1,1,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-19,2026-06-19,ALL,2,0,2,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-19,2026-06-19,laurastar,2,0,2,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-20,2026-06-20,ALL,1,1,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-20,2026-06-20,aarke,1,1,0,100,1,1,1,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-21,2026-06-21,ALL,7,4,3,57.1,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-21,2026-06-21,laurastar,7,4,3,57.1,2,2,1,50,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-22,2026-06-22,ALL,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-22,2026-06-22,woods,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-23,2026-06-23,ALL,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-23,2026-06-23,laurastar,1,0,1,0,1,1,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-24,2026-06-24,ALL,7,6,1,85.7,2,3,3,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-24,2026-06-24,aarke,7,6,1,85.7,2,3,3,100,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-25,2026-06-25,ALL,3,0,3,0,1,2,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
day,2026-06-25,2026-06-25,laurastar,3,0,3,0,1,2,0,0,0,0,true,FAQ 종료 추정은 실제 해결률·상담 억제율이 아님
